,Title,lyric
1325,"10,000 Promises",Your ten thousand promises That you gave to me
10481,"10,000 Promises",Studio albums
11135,"10,000 Promises",71.7
2415,"10,000 Promises","What a lie (what a lie) You and I (you and I)
"
1979,"10,000 Promises","But time after time all the promises Turned out to be all lies
"
1761,"10,000 Promises",When the truth was you and I
3723,"10,000 Promises",What about your Your ten thousand promises
2633,"10,000 Promises",What about your Your ten thousand promises
10808,"10,000 Promises","Once we were lovers
Just lovers we were
Oh what a lie
Once we were dreamers
Just dreamers we were
Both you and I

Now I see you're just somebody
Who wastes all my time
And money
What a lie
You and I

What about your
Your ten thousand promises
That you gave to me
Your ten thousand promises
That you promised me

Once I could handle the truth
When the truth was you and I
But time after time all the promises
Turned out to be all lies

Now...
Now I see I'm just somebody
Who wasted my time and money
What a lie (what a lie)
You and I (you and I)

What about your
Your ten thousand promises
That you gave to me
Your ten thousand promises
That you promised me

You say I'll take you back
But I closed the door
'Cause I don't want
Ten thousand more

Ten thousand promises yeah
Ten thousand promises you gave to me

What about your
Your ten thousand promises
That you gave to me
Your ten thousand promises
That you promised me

Once we were lovers
Just lovers we were
Oh, you and I
What a lie"
2740,All I Have to Give,"Oh, to you
 Hey girl (Hey girl)"
4375,All I Have to Give,I wish I could give the world to you (I wanna give the world to you)
4811,All I Have to Give,I wish I could give the world to you
2304,All I Have to Give,Without you I don't think I can live
451,All I Have to Give,I don't care if he buys you nice things
4702,All I Have to Give,Without you I don't think I can live
4048,All I Have to Give,"All that I have is for you My love is all...
"
4484,All I Have to Give,"But love is all I have to give (It's all that I have)
"
1432,All I Have to Give,Even listening to a word you say?
11024,All I Have to Give,3.7
10479,All I Have to Give,Studio albums
3939,All I Have to Give,All that I have is for you
1759,All I Have to Give,Does he leave when you need him the most?
669,All I Have to Give,"I don't know, but if you were my girl"
2849,All I Have to Give,I don't want you to cry no more inside
2413,All I Have to Give,I wish I could give the world to you
3503,All I Have to Give,"Ohh, everything I have is for you"
2195,All I Have to Give,But my love is all I have to give
560,All I Have to Give,Does his gifts come from the heart?
4593,All I Have to Give,But my love is all I have to give
1214,All I Have to Give,"But love is all I have to give
"
1868,All I Have to Give,Does his friends get all your time?
5029,All I Have to Give,Ohh... All I have to give
4157,All I Have to Give,"My love is all...
 I have to give"
5792,All I Have to Give,But love is all I have to give
1977,All I Have to Give,"Does his friends get all your time? Baby please, I'm on my knees"
5356,All I Have to Give,"But love is all I have to give (That's all I got to give)
"
233,All I Have to Give,But I'll be there to make you smile I don't have a fancy car
3830,All I Have to Give,My love is all that I have to give
5465,All I Have to Give,But my love is all I have to give
124,All I Have to Give,But I'll be there to make you smile
3067,All I Have to Give,Could never add up to all the love I have inside
887,All I Have to Give,But my love is all I have to give
1323,All I Have to Give,"When you talk, does it seem like he's not"
342,All I Have to Give,"To get to you, I'd walk a thousand miles"
3394,All I Have to Give,"All I can give, all I can give"
3285,All I Have to Give,And I will give it to you
11133,All I Have to Give,70.2
10370,All I Have to Give,Backstreet's Back
5247,All I Have to Give,"Without you I don't think I can live Give the world to you, lady"
2958,All I Have to Give,"Ohh, all the money in the world"
3176,All I Have to Give,"Could never add up to all the love I have inside I love you, baby
"
10152,All I Have to Give,15
15,All I Have to Give,I don't know what he does to make you cry
10261,All I Have to Give,15
5574,All I Have to Give,Without you I don't think I can live (I don't think that I can live)
1650,All I Have to Give,I'll try my best to kiss them all away
996,All I Have to Give,Without you I don't think I can live
4266,All I Have to Give,Without you I don't think I can live (I don't think that I can live)
2631,All I Have to Give,"But love is all I have to give Oh, to you
"
3612,All I Have to Give,"You got what I need (You, you, you, you...)"
1105,All I Have to Give,I wish I could give the world to you
778,All I Have to Give,"I'd make it so we'd never be apart
"
5138,All I Have to Give,Without you I don't think I can live
3721,All I Have to Give,"You got what I need (You, you, you, you...) What I need"
4920,All I Have to Give,But love is all I have to give
10806,All I Have to Give,"I don't know what he does to make you cry
But I'll be there to make you smile
I don't have a fancy car
To get to you, I'd walk a thousand miles
I don't care if he buys you nice things
Does his gifts come from the heart?
I don't know, but if you were my girl
I'd make it so we'd never be apart

But my love is all I have to give
Without you I don't think I can live
I wish I could give the world to you
But love is all I have to give

When you talk, does it seem like he's not
Even listening to a word you say?
That's okay, baby, just tell me your problems
I'll try my best to kiss them all away
Does he leave when you need him the most?
Does his friends get all your time?
Baby please, I'm on my knees
Praying for the day that you'll be mine

But my love is all I have to give
Without you I don't think I can live
I wish I could give the world to you
But love is all I have to give
Oh, to you

Hey girl (Hey girl)
I don't want you to cry no more inside
Ohh, all the money in the world
Could never add up to all the love I have inside
I love you, baby

And I will give it to you
All I can give, all I can give
Ohh, everything I have is for you
You got what I need (You, you, you, you...)
What I need
My love is all that I have to give
All that I have is for you
My love is all...

I have to give
Without you I don't think I can live (I don't think that I can live)
I wish I could give the world to you (I wanna give the world to you)
But love is all I have to give (It's all that I have)

But my love is all I have to give
Without you I don't think I can live
I wish I could give the world to you
But love is all I have to give
To you

Ohh...
All I have to give
Without you I don't think I can live
Give the world to you, lady
But love is all I have to give (That's all I got to give)

But my love is all I have to give
Without you I don't think I can live (I don't think that I can live)
I wish I could give the world to you
But love is all I have to give"
5683,All I Have to Give,I wish I could give the world to you
1541,All I Have to Give,"That's okay, baby, just tell me your problems"
10915,All I Have to Give,26.1
11242,All I Have to Give,99.91
2086,All I Have to Give,"Praying for the day that you'll be mine
"
2522,All I Have to Give,But love is all I have to give
5854,All of Your Life (You Need Love),"Soon you'll live within my heart You deserve it, you know it"
5963,All of Your Life (You Need Love),You've been searching for it all of your life
7162,All of Your Life (You Need Love),You've been searching for it all of your life
2802,All of Your Life (You Need Love),Tell me can I be your man
2257,All of Your Life (You Need Love),You've been searching for it all of your life You need love (you need love)
622,All of Your Life (You Need Love),Baby tell me can I be your man Let's be lovers (be lovers)
4764,All of Your Life (You Need Love),You've been searching for it All of your live
1058,All of Your Life (You Need Love),But you really need to give us a chance
7816,All of Your Life (You Need Love),You've been searching for it all of your life You need love (you need love)
1167,All of Your Life (You Need Love),Cuz You need love
2911,All of Your Life (You Need Love),Tell me can I be your man Hole your heart
2584,All of Your Life (You Need Love),Be your friend I'll give you all
6290,All of Your Life (You Need Love),Don't be scared to try again You can rest upon a chance
10977,All of Your Life (You Need Love),30.0
7489,All of Your Life (You Need Love),Don't be scared to try again You can rest upon a chance
5418,All of Your Life (You Need Love),Searching for it all of your live
1821,All of Your Life (You Need Love),You need love Don't be scared to try again
7598,All of Your Life (You Need Love),"And I'll hold you, I'll save you"
404,All of Your Life (You Need Love),Be a shield from rain and weather Tell me can I
11195,All of Your Life (You Need Love),68.9
10323,All of Your Life (You Need Love),77
4110,All of Your Life (You Need Love),You need love Don't be scared to try again
7053,All of Your Life (You Need Love),"Soon you'll live within my heart You deserve it, you know it"
6399,All of Your Life (You Need Love),"And I'll hold you, I'll save you"
3347,All of Your Life (You Need Love),Let me change the life you live
2366,All of Your Life (You Need Love),You need love (you need love) I need to know
3456,All of Your Life (You Need Love),Let me change the life you live You need love
10214,All of Your Life (You Need Love),77
186,All of Your Life (You Need Love),I wanna know Can we spend this life together
1385,All of Your Life (You Need Love),Please don't change the way you are Soon you'll live within my heart
6617,All of Your Life (You Need Love),You've been searching for it all of your life You need love (you need love)
5091,All of Your Life (You Need Love),Ooh ooh You need love (you need love)
295,All of Your Life (You Need Love),Be a shield from rain and weather
3020,All of Your Life (You Need Love),Hole your heart There's a wound I wanna heal
949,All of Your Life (You Need Love),True and honest forever I know you been hurt
2148,All of Your Life (You Need Love),You've been searching for it all of your life
3129,All of Your Life (You Need Love),If you need me I'll be here
10432,All of Your Life (You Need Love),This Is Us
7380,All of Your Life (You Need Love),You need love Don't be scared to try again
3238,All of Your Life (You Need Love),If you need me I'll be here Here to fix what broke
6944,All of Your Life (You Need Love),Please don't change the way you are Soon you'll live within my heart
1712,All of Your Life (You Need Love),You've been searching for it all of your life You need love
10868,All of Your Life (You Need Love),"Hey
Yeah, yeah
I wanna know
Can we spend this life together
Be a shield from rain and weather
Tell me can I
Baby tell me can I be your man
Let's be lovers (be lovers)
Girl I promise to be faithful
True and honest forever
I know you been hurt
But you really need to give us a chance
Cuz
You need love
Please don't change the way you are
Soon you'll live within my heart
You deserve it, you know it
You've been searching for it all of your life
You need love
Don't be scared to try again
You can rest upon a chance
And I'll hold you, I'll save you
You've been searching for it all of your life
You need love (you need love)
I need to know
Can I be the one you trust
Be your friend I'll give you all
All of the things you dream of
Tell me can I be your man
Hole your heart
There's a wound I wanna heal
If you need me I'll be here
Here to fix what broke
Let me change the life you live
You need love
Please don't change the way you are
Soon you'll live within my heart
You deserve it, you know it
You've been searching for it all of your life
You need love
Don't be scared to try again
You can rest upon a chance
And I'll hold you, I'll save you
You've been searching for it all of your life
You need love (you need love)
You've been searching for it
All of your live
Yeah
You've been searching for it
All of your live
Yeah
Ooh ooh
You need love (you need love)
Don't change the way you are
You need love
Searching for it all of your live
You need love
Please don't change the way you are
Soon you'll live within my heart
You deserve it, you know it
You've been searching for it all of your life
You need love
Don't be scared to try again
You can rest upon a chance
And I'll hold you, I'll save you
You've been searching for it all of your life
You need love (you need love)
You need love
Please don't change the way you are
Soon you'll live within my heart
You deserve it, you know it
You've been searching for it all of your life
You need love
Don't be scared to try again
You can rest upon a chance
And I'll hold you, I'll save you
You've been searching for it all of your life
You need love (you need love)"
10541,All of Your Life (You Need Love),Studio albums
5745,All of Your Life (You Need Love),Please don't change the way you are Soon you'll live within my heart
4655,All of Your Life (You Need Love),You need love (you need love) You've been searching for it
2693,All of Your Life (You Need Love),All of the things you dream of
77,All of Your Life (You Need Love),"Yeah, yeah I wanna know"
5527,All of Your Life (You Need Love),Searching for it all of your live You need love
3565,All of Your Life (You Need Love),Please don't change the way you are
840,All of Your Life (You Need Love),Girl I promise to be faithful True and honest forever
7271,All of Your Life (You Need Love),You've been searching for it all of your life You need love
4001,All of Your Life (You Need Love),You've been searching for it all of your life You need love
6181,All of Your Life (You Need Love),You need love Don't be scared to try again
3783,All of Your Life (You Need Love),"Soon you'll live within my heart You deserve it, you know it"
2475,All of Your Life (You Need Love),Can I be the one you trust
2039,All of Your Life (You Need Love),"And I'll hold you, I'll save you"
5636,All of Your Life (You Need Love),Please don't change the way you are
4982,All of Your Life (You Need Love),You've been searching for it All of your live
11086,All of Your Life (You Need Love),1.1
11304,All of Your Life (You Need Love),99.95
3674,All of Your Life (You Need Love),Please don't change the way you are Soon you'll live within my heart
4328,All of Your Life (You Need Love),"And I'll hold you, I'll save you"
5309,All of Your Life (You Need Love),Don't change the way you are You need love
3892,All of Your Life (You Need Love),You've been searching for it all of your life
6835,All of Your Life (You Need Love),Please don't change the way you are
4546,All of Your Life (You Need Love),You've been searching for it all of your life You need love (you need love)
6072,All of Your Life (You Need Love),You've been searching for it all of your life You need love
513,All of Your Life (You Need Love),Baby tell me can I be your man
1494,All of Your Life (You Need Love),"Soon you'll live within my heart You deserve it, you know it"
1276,All of Your Life (You Need Love),Please don't change the way you are
4873,All of Your Life (You Need Love),Yeah You've been searching for it
4219,All of Your Life (You Need Love),Don't be scared to try again You can rest upon a chance
7707,All of Your Life (You Need Love),You've been searching for it all of your life
6508,All of Your Life (You Need Love),You've been searching for it all of your life
731,All of Your Life (You Need Love),Let's be lovers (be lovers) Girl I promise to be faithful
5200,All of Your Life (You Need Love),You need love (you need love) Don't change the way you are
4437,All of Your Life (You Need Love),You've been searching for it all of your life
1930,All of Your Life (You Need Love),Don't be scared to try again You can rest upon a chance
6726,All of Your Life (You Need Love),You need love (you need love) You need love
1603,All of Your Life (You Need Love),You've been searching for it all of your life
1918,Any Other Way,"It's like I'm living in somebody else's life Tell me it's not real...
"
501,Any Other Way,"I can't seem to comprehend A day without you.
"
10856,Any Other Way,"There you go caught you crashin' my dreams again
Just when I'm trying to get over you.
I tell my heart but
I can't seem to comprehend
A day without you.

Now you're carved out a life
But I wear the scars
Reminding me by the hour
That its time to accept it's the way things are
I wish I could but...

Can't imagine it any other way
A world without you is only wasted space
You're gone and I'll always wonder
Why you can't be any other way, any other way.

Since you drained all the color out of the sky
How am I supposed to feel
It's like I'm living in somebody else's life
Tell me it's not real...

Can't imagine it any other way
A world without you is only wasted space
You're gone and I'll always wonder
Why you can't be any other way, any other way.

Can't imagine it any other way
A world without you is only wasted space
You're gone and I'll always wonder
Why you can't be any other way, any other way.

Like we never had a falling out
Like the tears, they never hit the ground
Like your still here, your still here

Since you drained all the color out of the sky

Can't imagine it any other way
A world without you is only wasted space
You're gone and I'll always wonder
Why you can't be any other way, any other way."
11074,Any Other Way,9.8
3335,Any Other Way,"Since you drained all the color out of the sky
 Can't imagine it any other way"
3008,Any Other Way,"Like the tears, they never hit the ground"
1264,Any Other Way,A world without you is only wasted space
283,Any Other Way,Just when I'm trying to get over you. I tell my heart but
3444,Any Other Way,A world without you is only wasted space
2899,Any Other Way,Like we never had a falling out
3553,Any Other Way,A world without you is only wasted space You're gone and I'll always wonder
10529,Any Other Way,Studio albums
1700,Any Other Way,Since you drained all the color out of the sky How am I supposed to feel
3226,Any Other Way,"Since you drained all the color out of the sky
"
10202,Any Other Way,65
719,Any Other Way,Now you're carved out a life But I wear the scars
10965,Any Other Way,8.9
65,Any Other Way,There you go caught you crashin' my dreams again
2027,Any Other Way,"Tell me it's not real...
 Can't imagine it any other way"
828,Any Other Way,But I wear the scars Reminding me by the hour
3117,Any Other Way,"Like your still here, your still here
"
1482,Any Other Way,"Why you can't be any other way, any other way.
"
3662,Any Other Way,"Why you can't be any other way, any other way."
10420,Any Other Way,Unbreakable
2572,Any Other Way,A world without you is only wasted space
1591,Any Other Way,Since you drained all the color out of the sky
2136,Any Other Way,A world without you is only wasted space
1155,Any Other Way,"I wish I could but...
 Can't imagine it any other way"
392,Any Other Way,I tell my heart but I can't seem to comprehend
2681,Any Other Way,A world without you is only wasted space You're gone and I'll always wonder
10311,Any Other Way,65
937,Any Other Way,That its time to accept it's the way things are
610,Any Other Way,"A day without you.
 Now you're carved out a life"
2354,Any Other Way,"Why you can't be any other way, any other way.
"
1373,Any Other Way,A world without you is only wasted space You're gone and I'll always wonder
2463,Any Other Way,"Why you can't be any other way, any other way.
 Can't imagine it any other way"
11183,Any Other Way,81.3
2790,Any Other Way,"Why you can't be any other way, any other way.
"
1809,Any Other Way,It's like I'm living in somebody else's life
174,Any Other Way,Just when I'm trying to get over you.
2245,Any Other Way,A world without you is only wasted space You're gone and I'll always wonder
1046,Any Other Way,"That its time to accept it's the way things are I wish I could but...
"
11292,Any Other Way,-67.92
2072,Anywhere for You,I used to think that dreams were just
1200,Anywhere for You,"Even through the darkest night, you know
 I'd go anywhere for you"
10247,Anywhere for You,1
3162,Anywhere for You,I'd do anything for you Anything you want me to
11228,Anywhere for You,99.5
1963,Anywhere for You,"There's one thing for sure, I know it's true Baby, I'd go anywhere for you
"
4034,Anywhere for You,I'd go anywhere for you Anywhere you ask me to
2181,Anywhere for You,I used to think that dreams were just For sentimental fools
4470,Anywhere for You,"Your love, as far as I can see Is all I'm ever gonna need"
437,Anywhere for You,"Anything you want me to
 I'd walk halfway around the world"
5233,Anywhere for You,"Your love, as far as I can see Is all I'm ever gonna need"
3271,Anywhere for You,"Your love, as far as I can see"
10792,Anywhere for You,"I'd go anywhere for you
Anywhere you ask me to
I'd do anything for you
Anything you want me to

I'd walk halfway around the world
For just one kiss from you
Far beyond the call of love
The sun, the stars, the moon
As long as your love's there to lead me
I won't lose my way, believe me
Even through the darkest night, you know

I'd go anywhere for you
Anywhere you ask me to
I'd do anything for you
Anything you want me to
Your love, as far as I can see
Is all I'm ever gonna need
There's one thing for sure, I know it's true
Baby, I'd go anywhere for you

I used to think that dreams were just
For sentimental fools
And I'd never find someone
Who'd give their love so true
But I knew the very minute
Couldn't live my life without you in it
And now I want the whole wide world to know

I'd go anywhere for you
Anywhere you ask me to
I'd do anything for you
Anything you want me to
Your love, as far as I can see
Is all I'm ever gonna need
There's one thing for sure, I know it's true
Baby, I'd go anywhere for you

Hey baby, hey baby, hey baby, ooh
Hey baby, hey baby

I'd go anywhere for you
Anywhere you ask me to
I'd do anything for you
Anything you want me to
Your love, as far as I can see
Is all I'm ever gonna need
There's one thing for sure, I know it's true
Baby, I'd go anywhere for you
Anywhere you ask me to
I'd do anything for you
Anything you want me to
Your love, as far as I can see
Is all I'm ever gonna need
There's one thing for sure, I know it's true
Baby, I'd go anywhere for you
For you"
328,Anywhere for You,"I'd do anything for you Anything you want me to
"
3925,Anywhere for You,"Hey baby, hey baby
 I'd go anywhere for you"
3053,Anywhere for You,Anywhere you ask me to I'd do anything for you
4579,Anywhere for You,"There's one thing for sure, I know it's true"
5342,Anywhere for You,"There's one thing for sure, I know it's true"
1091,Anywhere for You,"Even through the darkest night, you know
"
10356,Anywhere for You,Backstreet Boys
1418,Anywhere for You,Anywhere you ask me to I'd do anything for you
982,Anywhere for You,"I won't lose my way, believe me"
219,Anywhere for You,Anywhere you ask me to I'd do anything for you
4906,Anywhere for You,Anywhere you ask me to I'd do anything for you
873,Anywhere for You,As long as your love's there to lead me
10138,Anywhere for You,1
1636,Anywhere for You,"Your love, as far as I can see"
3816,Anywhere for You,"Hey baby, hey baby, hey baby, ooh Hey baby, hey baby
"
1745,Anywhere for You,"Your love, as far as I can see Is all I'm ever gonna need"
655,Anywhere for You,For just one kiss from you Far beyond the call of love
5451,Anywhere for You,"There's one thing for sure, I know it's true Baby, I'd go anywhere for you"
2835,Anywhere for You,"And now I want the whole wide world to know
 I'd go anywhere for you"
4361,Anywhere for You,"Your love, as far as I can see"
2508,Anywhere for You,Who'd give their love so true But I knew the very minute
2399,Anywhere for You,And I'd never find someone Who'd give their love so true
11119,Anywhere for You,79.9
3598,Anywhere for You,"There's one thing for sure, I know it's true Baby, I'd go anywhere for you
"
3489,Anywhere for You,"There's one thing for sure, I know it's true"
4143,Anywhere for You,Anywhere you ask me to I'd do anything for you
5015,Anywhere for You,I'd do anything for you Anything you want me to
1854,Anywhere for You,"There's one thing for sure, I know it's true"
1309,Anywhere for You,I'd go anywhere for you Anywhere you ask me to
1,Anywhere for You, I'd go anywhere for you
2290,Anywhere for You,For sentimental fools And I'd never find someone
4797,Anywhere for You,"Baby, I'd go anywhere for you Anywhere you ask me to"
10901,Anywhere for You,18.9
2944,Anywhere for You,I'd go anywhere for you Anywhere you ask me to
11010,Anywhere for You,1.2
546,Anywhere for You,I'd walk halfway around the world For just one kiss from you
1527,Anywhere for You,I'd do anything for you Anything you want me to
3707,Anywhere for You,"Hey baby, hey baby, hey baby, ooh"
3380,Anywhere for You,"Your love, as far as I can see Is all I'm ever gonna need"
2617,Anywhere for You,Couldn't live my life without you in it
10465,Anywhere for You,Studio albums
4252,Anywhere for You,I'd do anything for you Anything you want me to
4688,Anywhere for You,"There's one thing for sure, I know it's true Baby, I'd go anywhere for you"
5124,Anywhere for You,"Your love, as far as I can see"
764,Anywhere for You,"Far beyond the call of love The sun, the stars, the moon"
110,Anywhere for You,I'd go anywhere for you Anywhere you ask me to
2726,Anywhere for You,"And now I want the whole wide world to know
"
3938,As Long as You Love Me,I don't care who you are (Who you are) Where you're from (Where you're from)
1431,As Long as You Love Me,Who you are Where you're from
4483,As Long as You Love Me,Where you're from (Where you're from) Don't care what you did (Yeah-ah-ah)
450,As Long as You Love Me,And how you got me blind is still a mystery
4810,As Long as You Love Me,Who you are (Who you are) Where you're from
341,As Long as You Love Me,"People say I'm crazy and that I am blind Risking it all in a glance
"
886,As Long as You Love Me,"As long as you're here with me
 I don't care who you are"
10914,As Long as You Love Me,18.3
2739,As Long as You Love Me,Who you are (Who you are) Where you're from (Where you're from)
5137,As Long as You Love Me,"As long as you love me
 Who you are"
1104,As Long as You Love Me,Where you're from What you did
777,As Long as You Love Me,"As long as you're here with me
"
10805,As Long as You Love Me,"Although loneliness has always been a friend of mine
I'm leaving my life in your hands
People say I'm crazy and that I am blind
Risking it all in a glance

And how you got me blind is still a mystery
I can't get you out of my head
Don't care what is written in your history
As long as you're here with me

I don't care who you are
Where you're from
What you did
As long as you love me
Who you are
Where you're from
Don't care what you did
As long as you love me

Every little thing that you have said and done
Feels like it's deep within me
Doesn't really matter if you're on the run
It seems like we're meant to be

I don't care who you are (Who you are)
Where you're from (Where you're from)
What you did
As long as you love me (I don't care)

Who you are (Who you are)
Where you're from (Where you're from)
Don't care what you did
As long as you love me (Yeah-ah-ah)
As long as you love me
As long as you love me

I've tried to hide it so that no one knows
But I guess it shows
When you look into my eyes
What you did and where you're comin' from (I don't care)
As long as you love me, baby

I don't care who you are (Who you are)
Where you're from (Where you're from)
What you did
As long as you love me (You love me)

Who you are (Who you are)
Where you're from (Where you're from)
Don't care what you did (Yeah-ah-ah)
As long as you love me (You love me)

Who you are (Who you are)
Where you're from
What did you did
As long as you love me

Who you are
Where you're from (Where you're from)
As long as you love me
Who you are
As long as you love me
What you did (I don't care)
As long as you love me"
3720,As Long as You Love Me,"As long as you love me, baby
"
4919,As Long as You Love Me,Where you're from What did you did
14,As Long as You Love Me,Although loneliness has always been a friend of mine
2085,As Long as You Love Me,"It seems like we're meant to be
"
5246,As Long as You Love Me,Who you are Where you're from (Where you're from)
3175,As Long as You Love Me,"As long as you love me As long as you love me
"
2630,As Long as You Love Me,"As long as you love me (I don't care)
 Who you are (Who you are)"
4265,As Long as You Love Me,"As long as you love me (You love me)
 Who you are (Who you are)"
11132,As Long as You Love Me,74.4
5682,As Long as You Love Me,As long as you love me What you did (I don't care)
1649,As Long as You Love Me,"Don't care what you did As long as you love me
"
5573,As Long as You Love Me,Who you are As long as you love me
3611,As Long as You Love Me,What you did and where you're comin' from (I don't care)
2521,As Long as You Love Me,"As long as you love me (I don't care)
"
10151,As Long as You Love Me,14
11241,As Long as You Love Me,99.56
3066,As Long as You Love Me,As long as you love me (Yeah-ah-ah) As long as you love me
123,As Long as You Love Me,I'm leaving my life in your hands
4374,As Long as You Love Me,Who you are (Who you are) Where you're from (Where you're from)
2848,As Long as You Love Me,Where you're from (Where you're from) Don't care what you did
10478,As Long as You Love Me,Studio albums
668,As Long as You Love Me,Don't care what is written in your history
4701,As Long as You Love Me,"As long as you love me (You love me)
 Who you are (Who you are)"
11023,As Long as You Love Me,7.3
1322,As Long as You Love Me,As long as you love me Who you are
3393,As Long as You Love Me,I've tried to hide it so that no one knows But I guess it shows
559,As Long as You Love Me,I can't get you out of my head
4047,As Long as You Love Me,Where you're from (Where you're from) What you did
5355,As Long as You Love Me,Where you're from (Where you're from) As long as you love me
232,As Long as You Love Me,People say I'm crazy and that I am blind
1867,As Long as You Love Me,Every little thing that you have said and done Feels like it's deep within me
2303,As Long as You Love Me,I don't care who you are (Who you are) Where you're from (Where you're from)
995,As Long as You Love Me,I don't care who you are Where you're from
10369,As Long as You Love Me,Backstreet's Back
10260,As Long as You Love Me,14
2957,As Long as You Love Me,As long as you love me (Yeah-ah-ah)
5464,As Long as You Love Me,As long as you love me Who you are
1976,As Long as You Love Me,Doesn't really matter if you're on the run
3284,As Long as You Love Me,I've tried to hide it so that no one knows
2412,As Long as You Love Me,Where you're from (Where you're from) What you did
5791,As Long as You Love Me,What you did (I don't care) As long as you love me
5028,As Long as You Love Me,"What did you did As long as you love me
"
1213,As Long as You Love Me,What you did As long as you love me
4592,As Long as You Love Me,"As long as you love me (You love me)
"
4156,As Long as You Love Me,"As long as you love me (You love me)
"
2194,As Long as You Love Me,I don't care who you are (Who you are)
3829,As Long as You Love Me,I don't care who you are (Who you are)
1758,As Long as You Love Me,Every little thing that you have said and done
3502,As Long as You Love Me,But I guess it shows When you look into my eyes
1540,As Long as You Love Me,Where you're from Don't care what you did
577,Back to Your Heart,If I wasn't such a fool Right now I'd be holding you
2430,Back to Your Heart,The words to say The road to take
1013,Back to Your Heart,The words to say The road to take
2975,Back to Your Heart,"Give me one more chance, to give my love to you
'Cause no one on this earth loves you like I do,"
5373,Back to Your Heart,What can I do To get to you
468,Back to Your Heart,Ever since the day we said goodbye If I wasn't such a fool
2757,Back to Your Heart,What can I do To get to you
4065,Back to Your Heart,And find a way back to your heart I beg and plead
4174,Back to Your Heart,I beg and plead Fall to my knees
4283,Back to Your Heart,"To find a way back to your heart

(Background)"
3084,Back to Your Heart,"Tell me
 The words to say"
2866,Back to Your Heart,"And find a way back to your heart
"
5264,Back to Your Heart,To find a way back to your heart What can I do
5482,Back to Your Heart,And find a way back to your heart
1122,Back to Your Heart,To find a way back to your heart
10278,Back to Your Heart,32
686,Back to Your Heart,Right now I'd be holding you There's nothin' that I wouldn't do
2212,Back to Your Heart,"If only you would tell me girl
"
904,Back to Your Heart,"Baby if I only knew
 The words to say"
2321,Back to Your Heart,"If only you would tell me girl
 The words to say"
795,Back to Your Heart,"There's nothin' that I wouldn't do Baby if I only knew
"
4392,Back to Your Heart,"To find a way back to your heart

(Background) These Arms of mine"
2648,Back to Your Heart,To find a way back to your heart What can I do
11150,Back to Your Heart,84.4
2539,Back to Your Heart,To find a way back to your heart
4501,Back to Your Heart,These Arms of mine Are open wide
11041,Back to Your Heart,1.8
4610,Back to Your Heart,From now until the end of time
3629,Back to Your Heart,"And find a way back to your heart
"
4828,Back to Your Heart,"This heart of mine belongs to you
"
1667,Back to Your Heart,"But I'll do anything to set things right
'Cause your love is so amazing"
141,Back to Your Heart,It's just that I don't even want to try
3411,Back to Your Heart,To find a way back to your heart What can I do
1340,Back to Your Heart,What can I do To get to you
3847,Back to Your Heart,I turn back time To make you mine
1994,Back to Your Heart,And make you feel the way I feel
1449,Back to Your Heart,"And find a way back to your heart
"
4719,Back to Your Heart,You are my world what can I do?
